Date,Town,State/Province,Latitude,Longitude,Number,Image,S.No
2019-09-09,Lakeland,FL,28.0,-82.0,1.0,,6993.0
2019-09-09,Muskoka Lakes,ON,45.1,-79.7,2.0,,6994.0
2019-09-09,Westborough,MA,42.3,-71.7,6.0,,6995.0
2019-09-09,Amherstburg,ON,42.1,-83.0,3553.0,,6996.0
2019-09-09,Lusby,MD,38.4,-76.5,2.0,,6997.0
2019-09-09,Pascagoula,MS,30.3,-88.6,1.0,,6998.0
2019-09-09,Woodward,OK,36.4,-99.4,3.0,,6999.0
2019-09-09,Argyle,NS,43.7,-66.0,2.0,,7000.0
2019-09-09,Wappingers Falls,NY,41.5,-74.0,10.0,,7001.0
2019-09-09,Phippsburg,ME,43.7,-69.8,4.0,,7002.0
2019-09-09,Town of Massena,NY,45.0,-74.9,2.0,,7003.0
2019-09-09,Wyncote,PA,40.1,-75.1,1.0,,7004.0
2019-09-09,Shelburne Municipal District,NS,43.6,-65.3,4.0,,7005.0
2019-09-09,Acton,MA,42.5,-71.4,8.0,,7006.0
2019-09-09,Waukesha,WI,43.0,-88.3,1.0,,7007.0
2019-09-09,Saint Louis,MO,38.6,-90.3,4.0,,7008.0
2019-09-09,Ottawa,ON,45.3,-75.8,1.0,,7009.0
2019-09-09,Little Rock,AR,34.8,-92.5,1.0,,7010.0
2019-09-09,Croton On Hudson,NY,41.2,-73.9,1.0,,7011.0
2019-09-09,El Cerrito,CA,37.9,-122.3,1.0,,7012.0
2019-09-09,Bellefonte,PA,40.9,-77.8,4.0,,6991.0
2019-09-09,Hudson,IN,41.5,-85.1,5.0,,6965.0
2019-09-09,Seguin,ON,45.2,-79.8,1.0,,6990.0
2019-09-09,Somonauk,IL,41.7,-88.7,350.0,,6988.0
2019-09-09,Wilkes Barre,PA,41.2,-75.8,1.0,,6967.0
2019-09-09,Santa Cruz,CA,37.0,-122.0,1.0,,6968.0
2019-09-09,Charleston,SC,32.8,-80.1,1.0,,6969.0
2019-09-09,Ballwin,MO,38.6,-90.5,1.0,,6970.0
2019-09-09,Milwaukee,WI,43.1,-87.9,1.0,,6971.0
2019-09-09,Horseheads,NY,42.2,-76.8,1.0,,6972.0
2019-09-09,Haverhill,MA,42.8,-71.1,4.0,,6973.0
2019-09-09,Haverhill,MA,42.8,-71.1,4.0,,6974.0
2019-09-09,Granville,NY,43.5,-73.3,4.0,,6975.0
2019-09-09,London,ON,43.0,-81.3,20.0,,6976.0
2019-09-09,Westpoint,IN,40.3,-87.0,1.0,,6977.0
2019-09-09,Mannsville,NY,43.7,-76.2,12.0,,6978.0
2019-09-09,Caldwell,NJ,40.9,-74.3,1.0,,6979.0
2019-09-09,Cape May Point,NJ,38.9,-75.0,20.0,,6980.0
2019-09-09,Town of Two Rivers,WI,44.2,-87.5,5.0,,6981.0
2019-09-09,Hammond,IN,41.6,-87.5,5.0,,6982.0
2019-09-09,South China,ME,44.5,-69.5,5.0,,6983.0
2019-09-09,Bloomingdale,NJ,41.0,-74.3,3.0,,6984.0
2019-09-09,Windham,NH,42.8,-71.3,9.0,,6985.0
2019-09-09,Dover,NH,43.2,-70.9,1.0,,6986.0
2019-09-09,Gettysburg,PA,39.8,-77.1,1.0,,6987.0
2019-09-09,Bloomfield,NJ,40.8,-74.2,1.0,,6989.0
2019-09-09,Halifax,NS,44.7,-63.9,1.0,,6966.0
2019-09-09,Pomona,CA,34.1,-117.8,1.0,,6943.0
2019-09-10,Orrstown,PA,40.1,-77.7,1.0,,6854.0
2019-09-10,Minneapolis,MN,45.0,-93.2,3.0,,6827.0
2019-09-10,South China,ME,44.5,-69.5,3.0,,6828.0
2019-09-10,Whitinsville,MA,42.1,-71.7,1.0,,6829.0
2019-09-10,Tulsa,OK,36.1,-95.9,1.0,,6830.0
2019-09-10,Milwaukee,WI,43.1,-87.9,12.0,,6831.0
2019-09-10,Carthage,IN,39.7,-85.6,1.0,,6832.0
2019-09-10,Oak Creek,WI,42.9,-87.9,20.0,,6833.0
2019-09-10,Milwaukee,WI,43.0,-88.0,14.0,,6834.0
2019-09-10,Carthage,IN,39.7,-85.6,1.0,,6835.0
2019-09-10,Knightstown,IN,39.8,-85.5,1.0,,6836.0
2019-09-10,London,ON,43.0,-81.3,27.0,,6837.0
2019-09-10,Vestal,NY,42.1,-76.0,1.0,,6838.0
2019-09-10,Newton,NJ,41.1,-74.8,3.0,,6826.0
2019-09-10,Versailles,OH,40.2,-84.5,12.0,,6839.0
2019-09-10,Union City,IN,40.2,-84.8,11.0,,6841.0
2019-09-10,Farmland,IN,40.2,-85.1,1.0,,6842.0
2019-09-10,Muncie,IN,40.2,-85.4,13.0,,6843.0
2019-09-10,Anderson,IN,40.1,-85.7,1.0,,6844.0
2019-09-10,Indianapolis,IN,39.8,-86.2,5.0,,6845.0
2019-09-10,Avon,IN,39.8,-86.4,7.0,,6846.0
2019-09-10,Oakland,IA,41.3,-95.4,20.0,,6847.0
2019-09-10,Laval,QC,45.6,-73.8,1.0,,6848.0
2019-09-10,Bass Harbor,ME,44.2,-68.3,11.0,,6849.0
2019-09-10,Holland Patent,NY,43.2,-75.3,5.0,,6850.0
2019-09-10,Beverly,MA,42.6,-70.9,1.0,,6851.0
2019-09-10,Mankato,MN,44.2,-93.9,5.0,,6852.0
2019-09-10,Union City,OH,40.2,-84.8,1.0,,6840.0
2019-09-10,Madison,WI,43.1,-89.5,2.0,,6853.0
2019-09-10,Chatham-Kent,ON,42.4,-82.2,50.0,,6825.0
2019-09-10,Utica,IL,41.4,-89.0,6.0,,6823.0
2019-09-10,Lakewood,OH,41.5,-81.8,3.0,,6797.0
2019-09-10,Louisville,KY,38.1,-85.9,1.0,,6798.0
2019-09-10,Louisville,KY,38.1,-85.9,1.0,,6799.0
2019-09-10,Stevens Point,WI,44.5,-89.5,2.0,,6800.0
2019-09-10,Saint Joseph,MI,42.1,-86.5,100.0,,6801.0
2019-09-10,Melbourne,IA,41.9,-93.1,43.0,,6802.0
2019-09-10,Saint Paul,MN,45.0,-93.2,3.0,,6803.0
2019-09-10,Saint Paul,MN,45.0,-93.2,1.0,,6804.0
2019-09-10,Jackson,MI,42.3,-84.4,1.0,,6805.0
2019-09-10,Grand Rapids,MI,42.9,-85.6,1.0,,6806.0
2019-09-10,Germantown,WI,43.2,-88.1,5.0,,6807.0
2019-09-10,Beloit,WI,42.5,-89.0,3.0,,6808.0
2019-09-10,Elkton,MD,39.5,-75.9,1.0,,6824.0
2019-09-10,Ann Arbor,MI,42.3,-83.8,1.0,,6809.0
2019-09-10,Whitby,ON,43.9,-79.0,100.0,,6811.0
2019-09-10,Florence,MS,32.1,-90.2,1.0,,6812.0
2019-09-10,Spring Arbor,MI,42.2,-84.6,1.0,,6813.0
2019-09-10,Champaign,IL,40.1,-88.3,2.0,,6814.0
2019-09-10,Minneapolis,MN,44.9,-93.3,6.0,,6815.0
2019-09-10,Harrisville,MI,44.7,-83.3,34.0,,6816.0
2019-09-10,Caldwell,NJ,40.9,-74.3,1.0,,6817.0
2019-09-10,Blythewood,SC,34.2,-80.9,1.0,,6818.0
2019-09-10,Welland,ON,43.0,-79.2,100.0,,6819.0
2019-09-10,Hartland,ME,44.9,-69.5,1.0,,6820.0
2019-09-10,Hammond,IN,41.6,-87.5,11.0,,6821.0
2019-09-10,Fairfield,PA,39.8,-77.4,1.0,,6822.0
2019-09-10,Baton Rouge,LA,30.4,-91.0,1.0,,6810.0
2019-09-10,Wilkes Barre,PA,41.2,-75.8,2.0,,6855.0
2019-09-10,Litchfield,CT,41.7,-73.2,2.0,,6915.0
2019-09-10,London,ON,43.0,-81.3,50.0,,6857.0
2019-09-10,Tyler,TX,32.3,-95.4,2.0,,6888.0
2019-09-10,Hattiesburg,MS,31.3,-89.4,1.0,,6889.0
2019-09-10,Destin,FL,30.4,-86.4,1.0,,6890.0
2019-09-10,Allenton,WI,43.4,-88.4,1.0,,6891.0
2019-09-10,Christiansburg,OH,40.1,-84.0,17.0,,6892.0
2019-09-10,Wyncote,PA,40.1,-75.1,1.0,,6893.0
2019-09-10,Mena,AR,34.6,-94.2,1.0,,6894.0
2019-09-10,Shelburne Municipal District,NS,43.6,-65.3,5.0,,6895.0
2019-09-10,Yarmouth Municipal District,NS,44.0,-65.9,1.0,,6896.0
2019-09-10,Dearborn,MI,42.3,-83.2,4.0,,6897.0
2019-09-10,Little Rock,AR,34.8,-92.3,4.0,,6898.0
2019-09-10,Clarington,ON,44.0,-78.6,75.0,,6899.0
2019-09-10,Saint Louis,MO,38.6,-90.3,2.0,,6900.0
2019-09-10,Pauma Valley,CA,33.3,-117.0,3.0,,6901.0
2019-09-10,Oklahoma City,OK,35.3,-97.5,2.0,,6902.0
2019-09-10,Saint Paul,MN,44.9,-93.1,1.0,,6903.0
2019-09-10,Hammond,IN,41.6,-87.5,54.0,,6904.0
2019-09-10,Inverness,QC,46.3,-71.5,1.0,,6905.0
2019-09-10,New Albany,IN,38.3,-85.8,2.0,,6906.0
2019-09-10,Ottawa,ON,45.3,-75.8,1.0,,6907.0
2019-09-10,Conneaut,OH,42.0,-80.6,3.0,,6908.0
2019-09-10,Camp Verde,AZ,34.5,-111.8,1.0,,6909.0
2019-09-10,Louisville,KY,38.2,-85.5,2.0,,6910.0
2019-09-10,Hebron Twp,PA,41.8,-78.0,7.0,,6911.0
2019-09-10,Platteville,CO,40.2,-104.8,2.0,,6912.0
2019-09-10,Las Cruces,NM,32.3,-106.8,1.0,,6913.0
2019-09-10,Media,PA,39.9,-75.4,1.0,,6914.0
2019-09-10,Mission,TX,26.3,-98.3,1.0,,6856.0
2019-09-10,Miamisburg,OH,39.6,-84.2,1.0,,6886.0
2019-09-10,Quinte West,ON,44.2,-77.6,4.0,,6887.0
2019-09-10,Bemus Point,NY,42.1,-79.3,1.0,,6884.0
2019-09-10,Lanark Highlands,ON,45.0,-76.4,1.0,,6858.0
2019-09-10,Rockport,TX,28.1,-97.0,1.0,,6859.0
2019-09-10,Fremont,OH,41.3,-83.2,20.0,,6860.0
2019-09-10,Chicago,IL,42.0,-87.7,1.0,,6861.0
2019-09-10,Chicago,IL,41.9,-87.7,1.0,,6862.0
2019-09-10,Chicago,IL,41.9,-87.7,1.0,,6863.0
2019-09-10,Dayton,KY,39.1,-84.5,1.0,,6864.0
2019-09-10,Ballwin,MO,38.6,-90.5,3.0,,6865.0
2019-09-10,Bluffton,OH,40.9,-83.9,1.0,,6866.0
2019-09-10,Cleveland,OH,41.4,-81.8,1.0,,6867.0
2019-09-10,Madison,WI,43.1,-89.3,8.0,,6885.0
2019-09-10,Marietta,OH,39.4,-81.5,1.0,,6869.0
2019-09-10,Sawyer,MI,41.9,-86.6,10.0,,6870.0
2019-09-10,Minneapolis,MN,45.0,-93.3,3.0,,6868.0
